,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,260,11840.953125,11838.296875,269489.43401114404,0.47381595097249374,7266,260
0,261,11889.203125,11886.53125,269488.66295343556,0.7710577084799297,7295,261
0,262,11937.828125,11935.140625,269488.0240812093,0.6388722262345254,7324,262
0,263,11990.890625,11988.203125,269487.3339967657,0.6900844436022453,7352,263
0,264,12039.234375,12036.546875,269486.6797256848,0.6542710809153505,7380,264
0,265,12088.65625,12085.953125,269485.94708008773,0.7326455970760435,7407,265
0,266,12139.203125,12136.46875,269485.29397355573,0.6531065320014022,7435,266
0,267,12188.390625,12185.65625,269484.63666139945,0.6573121562832966,7463,267
0,268,12236.625,12233.859375,269483.99566869374,0.6409927057102323,7491,268
0,269,12285.390625,12282.625,269483.41956753866,0.5761011550785042,7520,269
0,270,12338.40625,12335.640625,269482.9047306866,0.5148368520312943,7549,270
0,271,12387.140625,12384.375,269482.26383856044,0.6408921261900105,7578,271
0,272,12442.3125,12439.53125,269481.59421312995,0.6696254304843023,7605,272
0,273,12490.46875,12487.6875,269480.9270374853,0.6671756446594372,7628,273
0,274,12538.421875,12535.609375,269480.25185355986,0.6751839254284278,7656,274
0,275,12588.078125,12585.265625,269479.69290578965,0.5589477702160366,7683,275
0,276,12639.859375,12637.046875,269479.2086321152,0.4842736744321883,7709,276
0,277,12690.34375,12687.515625,269478.7389147767,0.469717338506598,7737,277
0,278,12743.921875,12741.078125,269478.16004957084,0.5788652058690786,7765,278
0,279,12791.515625,12788.671875,269477.7182534978,0.44179607304977253,7794,279
0,280,12842.03125,12839.171875,269477.28430164274,0.4339518550550565,7821,280
0,281,12894.796875,12891.9375,269476.83770394675,0.44659769599093124,7849,281
0,282,12945.859375,12942.984375,269476.19616700825,0.6415369384922087,7875,282
0,283,12995.625,12992.734375,269475.8354531518,0.36071385646937415,7904,283
0,284,13044.828125,13041.921875,269475.1581549888,0.6772981630056165,7932,284
0,285,13095.59375,13092.671875,269474.70441037393,0.4537446148460731,7961,285
0,286,13146.4375,13143.515625,269474.0275761636,0.6768342103459872,7987,286
0,287,13198.640625,13195.703125,269473.6846468006,0.3429293629596941,8015,287
0,288,13250.796875,13247.859375,269473.17449078814,0.5101560124894604,8042,288
0,289,13305.265625,13302.3125,269472.76748844987,0.4070023382664658,8069,289
0,290,13354.953125,13352.0,269472.1375312571,0.6299571927520446,8097,290
0,291,13409.15625,13406.171875,269471.7657640692,0.37176718789851293,8125,291
0,292,13458.703125,13455.703125,269471.21005587967,0.5557081895531155,8151,292
0,293,13512.90625,13509.875,269470.7212245843,0.4888312953407876,8179,293
0,294,13567.28125,13564.234375,269470.40463949746,0.31658508686814457,8208,294
0,295,13616.015625,13612.953125,269469.7875765005,0.6170629969565198,8236,295
0,296,13665.734375,13662.671875,269469.3332325017,0.45434399880468845,8265,296
0,297,13713.59375,13710.515625,269468.9392947242,0.3939377774950117,8294,297
